time,precip
1981-12-31,36.82225678076527
1982-12-31,33.39496638115172
1983-12-31,27.845863059602568
1984-12-31,38.25937871398872
1985-12-31,41.065376811246246
1986-12-31,36.24242545454006
1987-12-31,39.92645199239684
1988-12-31,38.90301022997145
1989-12-31,44.03832811897715
1990-12-31,34.696676232432296
1991-12-31,43.751836443574
1992-12-31,33.32163718249349
1993-12-31,38.50678367060224
1994-12-31,39.08943774249432
1995-12-31,41.42630427423809
1996-12-31,39.20574349667919
1997-12-31,38.87632612207319
1998-12-31,35.90508236811253
1999-12-31,45.61466762608031
2000-12-31,35.86977953352826
2001-12-31,33.05978487707359
2002-12-31,38.50686270103433
2003-12-31,41.46624184899464
2004-12-31,37.38370847597668
2005-12-31,36.28216124807997
2006-12-31,37.26653510238172
2007-12-31,43.35363108281824
2008-12-31,41.62548808336728
2009-12-31,41.80501119039034
2010-12-31,44.38390253524431
2011-12-31,41.63638400129117
2012-12-31,39.68641228079629
2013-12-31,30.200328108288904
2014-12-31,35.32822494704956
2015-12-31,33.37874990303795
2016-12-31,38.147403860854055
2017-12-31,35.46831889384772
2018-12-31,39.07193539415445
2019-12-31,42.73181404186308
